GeneName,X_LogCPM,Y_LogFC,AdjPval,DGE_Category,BATF_invivo_logCPM,BATF_invivo_logCPM,pMIG_invivo_logCPM,pMIG_invivo_logCPM
Mepce,5.032,0.5023,0.7276,NotDiff,2.126,1.018,4.312,3.598
Zcwpw1,3.84,0.9927,0.6337,NotDiff,2.474,-3.597,2.615,-2.126
Pilrb1,-2.427,7.542,0.3992,NotDiff,7.381,7.464,6.999,6.915
Gjc3,-2.655,0.4662,0.9768,NotDiff,5.146,4.904,5.026,5.057
Zkscan1,0.9183,2.198,0.7415,NotDiff,3.016,3.937,2.065,3.806
Zscan21,5.621,-0.2932,0.7962,NotDiff,6.106,4.97,6.412,6.239
Zfp113,1.188,-1.203,0.8278,NotDiff,8.753,8.948,8.347,8.39
Cops6,8.734,-0.3413,0.6028,NotDiff,-4.271,3.359,1.304,-0.3527
Mcm7,8.795,-0.3205,0.617,NotDiff,5.382,4.689,5.589,5.825
Ap4m1,1.294,3.151,0.5836,NotDiff,0.09009,-3.597,1.903,-0.8907
Taf6,6.592,0.03693,0.9793,NotDiff,6.335,6.645,5.764,6.743
Cnpy4,3.578,4.238,0.1933,NotDiff,3.07,2.962,3.741,3.391
Mblac1,-1.778,-0.0707,0.9963,NotDiff,5.561,5.108,5.286,5.492
Lamtor4,5.462,-0.06374,0.9708,NotDiff,2.524,3.274,-4.271,-1.871
BC037034,2.264,-0.7383,0.8478,NotDiff,3.319,3.159,-4.271,2.345
6330418K02Rik,-1.535,0.9266,0.9359,NotDiff,5.581,5.531,5.955,4.852
Gal3st4,-4.454,3.744,0.7494,NotDiff,5.788,4.223,4.825,5.28
Stag3,-1.555,9.156,0.2654,NotDiff,5.061,4.863,5.331,5.94
Zfp157,0.7971,-3.591,0.599,NotDiff,6.315,5.735,6.93,6.664
Zfp68,6.513,0.1712,0.8643,NotDiff,7.116,7.843,6.458,5.91
A430033K04Rik,-0.9673,-7.251,0.394,NotDiff,7.272,7.442,7.128,7.339
Dnaaf5,3.629,0.5922,0.7694,NotDiff,6.94,6.574,7.888,7.605
Sun1,5.677,0.4325,0.7387,NotDiff,6.832,6.097,6.807,6.38
Get4,7.394,-0.3173,0.7018,NotDiff,5.35,5.451,6.488,6.173
Adap1,6.081,-0.3519,0.7622,NotDiff,7.826,6.996,7.72,7.589
Cox19,5.377,0.02482,0.9884,NotDiff,6.504,5.713,6.782,7.29
3110082I17Rik,4.253,-1.598,0.3287,NotDiff,3.21,3.721,3.559,-3.757
D830046C22Rik,-4.454,-3.81,0.7493,NotDiff,6.344,6.268,5.565,6.483
Gpr146,3.484,0.5989,0.783,NotDiff,8.452,7.87,8.699,8.818
Zfand2a,4.902,0.7044,0.6204,NotDiff,2.134,4.216,1.649,3.603
Ints1,4.355,-0.7549,0.6541,NotDiff,5.437,4.807,2.924,4.595
Mafk,4.276,0.596,0.7381,NotDiff,12.74,12.38,12.78,12.6
Psmg3,5.428,0.6659,0.5696,NotDiff,4.33,4.823,5.141,3.897
Mad1l1,4.663,0.5145,0.7388,NotDiff,0.311,-4.271,2.53,-0.9513
Ftsj2,3.178,0.5179,0.8347,NotDiff,5.51,5.637,5.737,5.678
Nudt1,5.02,-1.443,0.2477,NotDiff,1.129,0.09687,2.473,-1.993
Snx8,2.376,-0.2337,0.9624,NotDiff,2.09,3.704,-0.03814,-0.7768
Eif3b,8.837,-0.07577,0.9216,NotDiff,6.189,6.596,5.02,4.526
Chst12,7.975,0.1353,0.8597,NotDiff,6.845,6.785,6.458,6.24
Grifin,-4.599,-3.128,0.7875,NotDiff,4.775,5.208,4.984,4.744
Lfng,4.959,0.7187,0.5962,NotDiff,7.153,7.318,7.929,7.871
Ttyh3,1.681,-1.887,0.7274,NotDiff,-0.207,-3.597,1.915,-2.436
Iqce,0.9129,-0.9349,0.8881,NotDiff,6.574,6.315,6.002,5.963
Brat1,3.378,-0.1891,0.9498,NotDiff,7.328,7.804,8.433,8.238
Amz1,-4.231,4.223,0.7299,NotDiff,0.8757,-4.271,2.887,2.007
Gna12,2.056,-0.3812,0.9377,NotDiff,5.253,4.953,4.333,5.574
Card11,2.364,-3.582,0.4671,NotDiff,5.572,4.961,5.526,4.881
Foxk1,1.49,-0.3232,0.9647,NotDiff,6.001,5.422,5.345,4.447
Ap5z1,0.4934,-4.5,0.5079,NotDiff,4.406,5.461,3.802,3.95
Wipi2,6.216,0.3588,0.7276,NotDiff,4.441,3.422,3.084,-2.126
Tnrc18,1.438,0.7517,0.8963,NotDiff,0.8929,2.043,3.152,1.727
Fbxl18,0.09323,-3.54,0.6402,NotDiff,5.729,4.788,5.349,5.115
Actb,14.4,-0.08822,0.804,NotDiff,4.044,2.318,3.089,1.223
Fscn1,0.1223,-0.8317,0.922,NotDiff,2.252,-4.271,2.098,-0.723
Rnf216,3.753,0.2441,0.9161,NotDiff,1.707,-4.271,3.86,1.873
Rbakdn,-3.107,6.07,0.5441,NotDiff,6.402,6.3,6.838,6.413
Rbak,1.398,0.5065,0.9353,NotDiff,-4.271,-4.271,2.388,-4.271
Zfp12,0.9546,-3.673,0.5592,NotDiff,5.381,4.71,3.59,4.184
E130309D02Rik,5.751,1.03,0.3239,NotDiff,2.491,3.232,2.924,0.2139
Zdhhc4,5.792,-0.3075,0.7716,NotDiff,0.7492,-0.4536,1.619,-4.271
0610040B10Rik,-1.485,3.682,0.7154,NotDiff,4.748,4.595,2.965,3.306
Kdelr2,7.313,-0.03011,0.9816,NotDiff,4.417,4.327,6.589,5.501
Daglb,3.77,-0.2075,0.9327,NotDiff,9.94,9.58,10.16,9.875
Rac1,8.702,-0.2077,0.7528,NotDiff,3.458,2.379,3.85,3.064
Fam220a,4.467,-0.3218,0.8398,NotDiff,6.533,7.027,5.107,5.039
Cyth3,3.62,0.3769,0.8691,NotDiff,5.641,5.483,6.151,5.365
Usp42,1.969,-3.171,0.5403,NotDiff,7.435,6.08,7.867,7.263
Eif2ak1,5.703,1.182,0.2668,NotDiff,-4.271,-4.271,-4.271,2.696
Aimp2,6.821,-0.05426,0.9649,NotDiff,4.632,3.515,2.881,3.827
Pms2,5.285,1.54,0.16,NotDiff,0.9099,3.324,4.001,3.59
Ccz1,6.916,0.01337,0.9915,NotDiff,0.8407,-4.271,-4.271,-4.271
Lmtk2,0.6799,-2.263,0.7388,NotDiff,2.568,-4.271,2.119,2.73
Tecpr1,4.491,1.084,0.4862,NotDiff,5.938,5.007,5.189,4.219
Bri3,4.475,-0.4567,0.7673,NotDiff,-1.089,-4.271,-3.115,1.138
Trrap,2.989,1.39,0.6262,NotDiff,1.369,-4.271,1.891,1.783
Smurf1,1.427,-2.434,0.697,NotDiff,2.474,3.108,3.471,2.661
Arpc1a,8.243,-0.7396,0.1895,NotDiff,-4.271,-4.271,-3.58,0.1861
Arpc1b,9.991,0.1358,0.8032,NotDiff,6.882,6.935,6.976,7.109
Pdap1,5.869,-0.4787,0.6772,NotDiff,5.284,5.252,5.614,5.996
Bud31,6.626,-0.3612,0.6995,NotDiff,1.281,3.144,0.7966,3.116
Ptcd1,4.335,1.13,0.4769,NotDiff,4.682,4.272,3.785,5.213
Cpsf4,5.692,-0.06622,0.9671,NotDiff,0.7301,-4.271,-0.03814,-4.271
Atp5j2,7.222,-0.3639,0.6554,NotDiff,7.829,8.015,8.22,8.099
Zkscan14,4.286,-0.6376,0.7413,NotDiff,5.621,6.147,6.455,6.369
Zfp655,6.052,0.09667,0.9385,NotDiff,5.555,5.344,5.828,4.418
Zscan25,-4.531,-3.252,0.7784,NotDiff,9.688,9.256,9.45,9.375
Rnf6,5.565,0.1951,0.8756,NotDiff,5.44,4.368,5.863,5.747
Cdk8,3.722,1.091,0.6122,NotDiff,6.818,6.451,5.709,6.432
Usp12,3.132,0.3323,0.9174,NotDiff,-4.271,-4.271,1.853,-4.271
Rpl21,8.587,-0.1442,0.826,NotDiff,3.673,5.144,3.668,2.786
Gtf3a,6.401,-0.169,0.8737,NotDiff,4.213,1.184,4.303,5.464
Mtif3,5.696,0.7921,0.4505,NotDiff,8.833,9.21,9.287,8.769
Lnx2,4.608,0.5335,0.7441,NotDiff,6.274,5.739,5.848,5.959
Polr1d,8.126,-0.6423,0.3239,NotDiff,5.808,4.965,5.907,6.042
D5Ertd605e,-2.839,0.1587,0.9926,NotDiff,1.344,-4.271,3.017,1.966
Pan3,4.356,0.3143,0.877,NotDiff,8.174,7.722,8.669,8.155
Flt1,-4.502,3.641,0.7561,NotDiff,3.617,1.333,3.876,2.944
Pomp,8.5,-0.1429,0.8268,NotDiff,6.84,6.974,7.331,6.258
Slc46a3,3.608,-0.2402,0.922,NotDiff,0.1196,1.62,0.8986,2.255
Slc7a1,4.591,-1.409,0.3239,NotDiff,5.683,5.431,6.14,5.623
Ubl3,8.212,0.4888,0.4528,NotDiff,0.1486,1.62,0.6581,2.809
2210417A02Rik,-4.577,3.479,0.7633,NotDiff,4.783,4.346,4.645,2.614
Katnal1,-3.336,-5.921,0.5648,NotDiff,6.76,5.9,6.906,7.068
Hmgb1,8.216,0.04852,0.957,NotDiff,5.59,6.337,4.958,4.36
Uspl1,5.692,0.3534,0.7604,NotDiff,2.964,4.24,0.09666,0.6808
Alox5ap,-3.21,5.889,0.5663,NotDiff,5.32,4.492,4.752,4.41
Wdr95,2.962,2.413,0.4284,NotDiff,5.27,4.346,6.216,5.612
B3glct,4.813,0.3767,0.8135,NotDiff,2.013,4.649,2.959,2.796
Fry,-4.399,-3.495,0.7622,NotDiff,7.03,7.306,7.588,7.565
Brca2,1.499,1.227,0.8097,NotDiff,1.707,-4.271,1.987,0.4191
N4bp2l1,5.041,0.3667,0.7758,NotDiff,5.069,5.865,4.01,2.8
N4bp2l2,6.353,0.5752,0.5441,NotDiff,10.46,10.74,8.688,9.365
Pds5b,3.493,0.0525,0.9871,NotDiff,8.437,8.092,7.568,7.51
1700028E10Rik,-0.9126,-3.629,0.6884,NotDiff,5.242,4.67,5.713,4.976
Rfc3,6.944,-0.1486,0.8748,NotDiff,7.004,6.077,7.42,6.552
Samd9l,-0.06518,-2.556,0.7466,NotDiff,2.468,1.515,2.959,4.432
Ccdc132,4.015,-0.1152,0.9647,NotDiff,2.421,4.122,1.963,3.09
Tfpi2,-4.563,3.509,0.7622,NotDiff,3.207,2.586,3.126,2.919
Gngt1,-4.743,2.821,0.8103,NotDiff,4.993,2.72,5.061,4.942
Gng11,2.517,2.594,0.5007,NotDiff,6.066,7.086,6.649,6.688
Bet1,5.442,-0.3886,0.7472,NotDiff,4.804,3.422,5.577,5.769
Casd1,3.947,0.3808,0.8581,NotDiff,7.935,7.225,8.152,7.937
Pon3,2.528,-0.6324,0.8501,NotDiff,0.1769,-4.271,2.279,1.891
Pon2,6.668,0.1419,0.883,NotDiff,0.4799,2.786,2.298,3.079
Slc25a13,4.526,0.7119,0.6604,NotDiff,7.216,7.804,6.705,7.709
Shfm1,7.363,0.1076,0.9075,NotDiff,3.49,2.502,3.62,2.099
Sdhaf3,2.802,-0.5273,0.8614,NotDiff,6.796,6.979,6.468,6.695
Asns,7.157,-0.569,0.455,NotDiff,5.614,5.37,5.572,5.861
C1galt1,3.083,1.36,0.6477,NotDiff,-4.271,-4.271,-4.271,0.8141
Mios,4.035,-2.687,0.2316,NotDiff,7.097,7.843,6.459,6.338
Rpa3,5.38,0.00982,0.9958,NotDiff,5.496,5.795,4.83,4.45
Umad1,4.899,-0.1248,0.9418,NotDiff,3.785,3.881,3.857,4.172
A430035B10Rik,0.0211,-1.77,0.8103,NotDiff,2.763,1.718,1.187,3.697
Glcci1,3.455,0.05411,0.9871,NotDiff,4.73,5.384,5.363,5.423
Ica1,3.662,-0.9731,0.6526,NotDiff,4.997,4.387,4.461,4.636
Ndufa4,7.526,-0.63,0.3707,NotDiff,2.661,2.793,4.038,2.143
Phf14,3.823,0.09494,0.9733,NotDiff,6.514,5.157,7.148,6.875
Tmem106b,5.559,0.08675,0.9539,NotDiff,4.768,4.102,5.392,5.703
Tmem168,4.95,0.4206,0.7608,NotDiff,3.261,4.644,5.552,5.439
B630005N14Rik,3.192,-0.9467,0.721,NotDiff,1.736,5.483,3.446,-4.271
2610001J05Rik,5.102,0.4985,0.7198,NotDiff,9.971,9.438,10.36,10.26
1110019D14Rik,-3.727,-1.352,0.922,NotDiff,3.983,2.011,2.695,2.143
Mdfic,4.66,0.5549,0.7276,NotDiff,-2.443,1.872,0.8737,-0.8326
Tes,8.518,0.3368,0.6102,NotDiff,6.567,6.618,6.776,6.647
Cav2,-4.701,-2.939,0.8025,NotDiff,5.28,6.082,5.553,5.691
Cav1,-4.179,4.336,0.7274,NotDiff,7.041,6.975,8.049,8.375
Met,-4.25,4.182,0.7325,NotDiff,9.114,8.583,9.273,9.448
Capza2,9.236,0.3641,0.5407,NotDiff,4.481,4.353,5.066,4.645
St7,4.79,0.1143,0.95,NotDiff,8.003,7.361,8.228,8.345
Lsm8,6.213,-0.7693,0.4189,NotDiff,1.406,-3.597,-3.58,-0.09197
Tspan12,-2.78,0.2638,0.9869,NotDiff,-4.271,-4.271,0.2199,-1.871
Ing3,6.416,0.6856,0.4833,NotDiff,2.427,2.637,2.659,3.611
Fam3c,6.75,-0.7768,0.3223,NotDiff,6.464,6.035,7.043,6.816
Ndufa5,6.709,-0.5847,0.4782,NotDiff,6.468,6.625,6.628,6.204
Wasl,2.779,-1.096,0.7347,NotDiff,6.191,5.96,5.777,6.018
Gpr37,-4.57,3.494,0.7622,NotDiff,3.085,1.931,3.601,3.724
Pot1a,4.855,-0.8059,0.5691,NotDiff,2.33,0.2544,0.8485,1.316
Zfp800,3.606,-1.282,0.539,NotDiff,5.891,5.398,4.898,3.547
Gcc1,3.042,0.6957,0.8012,NotDiff,7.334,6.659,7.494,7.751
Arf5,8.652,-0.1723,0.7841,NotDiff,6.827,7.169,6.31,5.943
Snd1,6.995,-0.007867,0.9946,NotDiff,5.546,4.544,5.526,4.331
Rbm28,4.764,-0.5511,0.7205,NotDiff,0.8929,1.124,0.923,2.977
Impdh1,6.196,-0.1846,0.8537,NotDiff,3.801,5.88,4.158,5.22
Hilpda,8.146,0.8815,0.1017,NotDiff,3.599,4.715,3.017,1.838
Fam71f2,-4.329,4.013,0.7388,NotDiff,4.821,4.383,6.338,7.323
Calu,6.676,0.3764,0.7167,NotDiff,8.74,8.969,8.008,8.345
Atp6v1f,7.765,-0.09565,0.9129,NotDiff,1.907,4.17,0.8485,-0.6712
Irf5,5.351,-0.6641,0.5884,NotDiff,8.446,8.473,8.688,8.765
Tspan33,-2.701,-7.004,0.4526,NotDiff,6.178,6.299,4.397,2.472
Smo,-4.351,3.966,0.7415,NotDiff,9.246,9.128,9.117,9.016
Ahcyl2,5.299,0.1319,0.9335,NotDiff,4.835,4.17,3.949,-0.2733
Nrf1,6.242,-0.09299,0.9383,NotDiff,3.035,-4.271,-3.58,-3.757
Ube2h,6.098,0.8583,0.3513,NotDiff,4.645,3.781,5.33,5.146
Zc3hc1,6.711,0.7056,0.3965,NotDiff,-4.271,-4.271,0.8228,1.783
Klhdc10,3.422,-1.688,0.4583,NotDiff,6.554,6.748,7.312,6.979
Tmem209,5.586,0.3403,0.7712,NotDiff,4.513,3.957,4.337,4.861
Cpa2,-0.08068,-4.024,0.5949,NotDiff,-4.271,-4.271,-4.271,1.094
Cpa5,-4.557,-3.588,0.7605,NotDiff,5.475,3.41,4.921,4.403
Cep41,2.813,1.059,0.7322,NotDiff,6.53,6.887,5.582,6.192
Mest,2.292,1.675,0.6852,NotDiff,2.546,5.314,4.018,4.468
Copg2,5.481,0.005578,0.9975,NotDiff,3.526,-4.271,1.304,3.494
Lincpint,-2.865,6.454,0.5091,NotDiff,4.381,4.875,5.317,5.091
Mkln1,6.624,0.1082,0.922,NotDiff,4.988,2.245,4.884,3.48
Chchd3,8.044,-0.5123,0.4351,NotDiff,4.454,4.362,3.173,2.214
Exoc4,4.01,0.01619,0.995,NotDiff,-4.271,-4.271,0.1389,-4.271
Slc35b4,5.559,-0.2409,0.8471,NotDiff,3.23,3.203,3.257,1.552
Akr1b3,0.6993,-0.6226,0.9359,NotDiff,6.148,6.116,6.501,6.176
Akr1b8,-2.107,-8.567,0.3125,NotDiff,6.798,6.604,6.924,6.211
Akr1b10,4.599,0.08533,0.9682,NotDiff,10.41,10.68,10.58,10.41
Bpgm,4.958,0.5011,0.7297,NotDiff,2.468,3.159,-0.1869,0.1577
Agbl3,-2.627,-2.624,0.8023,NotDiff,5.864,5.135,5.929,5.014
Tmem140,0.9508,-1.237,0.8417,NotDiff,-4.271,-4.271,1.761,2.561
3110062M04Rik,1.109,0.7362,0.9123,NotDiff,4.97,4.533,5.524,5.243
Wdr91,4.346,0.2456,0.8971,NotDiff,-4.271,-4.271,-4.271,2.919
Cnot4,4.099,-0.9209,0.6143,NotDiff,6.387,6.403,7.105,6.796
Nup205,2.121,-3.34,0.5359,NotDiff,7,5.932,7.049,6.913
1810058I24Rik,6.41,-0.3961,0.6914,NotDiff,6.013,4.633,4.526,3.84
Mtpn,7.508,0.1274,0.877,NotDiff,2.398,4.233,3.966,3.871
Creb3l2,-2.083,-4.504,0.6604,NotDiff,5.078,5.862,5.958,6.088
Trim24,2.384,0.1589,0.9753,NotDiff,-2.838,-4.271,-1.565,1.354
D630045J12Rik,-4.218,-2.307,0.8514,NotDiff,2.72,1.908,3.782,1.811
Zc3hav1l,-0.8116,-3.062,0.7328,NotDiff,-3.085,-4.271,0.4722,-4.271
Ubn2,2.347,0.3484,0.9335,NotDiff,2.984,2.91,3.808,2.454
1110001J03Rik,4.213,-0.7125,0.6934,NotDiff,2.972,-4.271,1.207,2.625
Luc7l2,5.027,-1.134,0.3878,NotDiff,8.245,7.857,8.073,7.67
Clec2l,-4.038,-4.706,0.6983,NotDiff,5.265,4.202,5.763,5.37
Hipk2,-0.2346,-3.555,0.6582,NotDiff,4.315,3.893,4.384,4.304
Parp12,3.655,2.162,0.3649,NotDiff,-4.271,1.468,-4.271,-4.271
Kdm7a,3.572,0.122,0.9671,NotDiff,7.324,7.521,7.966,8.144
Slc37a3,4.606,1.682,0.2391,NotDiff,0.2588,-4.271,1.511,-1.557
Rab19,5.751,1.391,0.116,NotDiff,6.065,6.176,5.795,5.755
Mkrn1,7.652,0.4036,0.5833,NotDiff,1.668,-4.271,-4.271,-1.466
Adck2,4.546,0.2079,0.9114,NotDiff,2.589,2.446,3.105,2.773
Ndufb2,5.626,-0.6169,0.573,NotDiff,1.441,-4.271,-4.271,-4.271
Braf,1.783,-1.255,0.7889,NotDiff,6.01,5.061,6.387,6.187
Mrps33,5.2,-0.2196,0.8705,NotDiff,3.114,3.072,0.923,2.413
Agk,3.118,-0.5008,0.8479,NotDiff,7.999,6.616,8.434,8.402
E330009J07Rik,3.908,-0.4167,0.8299,NotDiff,5.244,4.381,4.819,4.367
Ssbp1,5.861,0.484,0.6566,NotDiff,2.044,-4.271,-4.271,-4.271
Try10,-4.083,1.807,0.8942,NotDiff,-4.271,-4.271,-4.271,1.109
Prss2,-0.5217,-1.222,0.8942,NotDiff,3.599,4.679,4.298,2.03
Ephb6,2.683,2.428,0.5728,NotDiff,6.045,6.575,5.932,5.773
Gstk1,0.1294,5.529,0.4621,NotDiff,4.596,4.837,4.987,4.9
Casp2,6.087,0.2219,0.8238,NotDiff,4.93,5.714,4.609,4.883
Fam131b,-3.313,1.625,0.9019,NotDiff,3.717,4.935,3.995,2.73
Zyx,7.532,0.3567,0.6485,NotDiff,0.9598,1.847,-4.271,-4.271
Arhgef5,-2.186,7.939,0.359,NotDiff,0.8048,-4.271,1.147,-4.271
Tpk1,3.573,-1.696,0.4472,NotDiff,3.267,0.8308,-3.115,3.27
Cul1,5.77,0.07222,0.9653,NotDiff,5.856,5.082,5.496,6.055
Ezh2,7.622,-0.7048,0.2791,NotDiff,0.311,1.164,0.8228,2.567
Pdia4,8.062,-0.0937,0.9121,NotDiff,8.321,8.834,8.725,9.058
Zfp398,2.728,-1.982,0.599,NotDiff,8.624,8.634,9.14,8.782
Zfp282,3.852,-0.1004,0.9714,NotDiff,2.641,3.189,-0.5401,0.03827
Zfp212,4.269,1.505,0.3663,NotDiff,6.483,6.72,6.87,6.298
Zfp783,2.504,1.554,0.6925,NotDiff,4.818,6.461,2.744,0.3456
Zfp956,-0.8964,-5.331,0.5341,NotDiff,-3.76,1.297,1.462,-3.757
Zfp777,-0.1535,5.602,0.4537,NotDiff,5.417,5.448,5.493,5.495
Zfp746,4.502,-0.09477,0.9649,NotDiff,2.61,1.385,1.266,3.851
Zfp467,-4.319,-3.642,0.756,NotDiff,1.981,-3.597,0.5369,-3.379
Sspo,-3.566,-5.581,0.6122,NotDiff,0.7109,-4.271,-4.271,-4.271
Zfp862-ps,0.2926,-0.09045,0.9936,NotDiff,2.029,4.24,-4.271,-4.271
Atp6v0e2,-2.329,1.112,0.9307,NotDiff,3.993,-4.271,1.634,3.606
Lrrc61,0.4794,-4.67,0.493,NotDiff,6.502,6.654,6.886,6.013
Repin1,3.401,-0.3849,0.8823,NotDiff,-2.627,-4.271,1.84,3.376
Zfp775,3.741,-0.05093,0.9868,NotDiff,3.896,3.925,3.555,3.156
AI854703,3.605,1.571,0.4782,NotDiff,5.155,6.74,5.348,5.472
Gimap8,3.417,1.744,0.4746,NotDiff,7.395,7.048,7.751,7.384
Gimap9,5.94,-0.3582,0.7388,NotDiff,6.892,4.794,6.297,6.347
Gimap4,9.291,0.1294,0.8294,NotDiff,5.332,5.439,5.493,5.248
Gimap6,9.145,-0.1807,0.7622,NotDiff,2.827,4.204,5.022,4.972
Gimap7,8.331,-0.03025,0.9755,NotDiff,-4.271,-4.271,-4.271,0.7202
Gimap1,7.793,-0.0521,0.956,NotDiff,3.241,4.425,3.173,3.12
Gimap5,6.618,-0.2403,0.7807,NotDiff,5.469,5.092,4.063,4.993
Gimap3,8.997,0.1888,0.7598,NotDiff,3.702,4.307,4.709,4.712
Tmem176b,-0.5049,-1.805,0.8278,NotDiff,4.439,4.812,3.523,4.344
Gpnmb,2.655,3.713,0.4746,NotDiff,5.614,5.881,5.43,4.795
Malsu1,5.808,-0.4409,0.7008,NotDiff,4.64,5.239,4.438,4.344
Igf2bp3,1.369,0.04778,0.9947,NotDiff,3.23,3.561,3.551,2.395
Tra2a,4.662,-0.2323,0.8878,NotDiff,4.932,3.587,5.656,5.915
Ccdc126,2.249,0.7456,0.8433,NotDiff,3.844,0.2912,2.912,2.523
Fam221a,1.781,-0.6615,0.8988,NotDiff,8.754,8.831,9.107,8.655
Mpp6,7.145,-0.9434,0.1508,NotDiff,8.211,7.845,8.163,7.681
Dfna5,-2.744,-7.128,0.4468,NotDiff,-4.271,-4.271,0.6581,-4.271
Cycs,6.74,-0.617,0.4518,NotDiff,5.564,5.067,4.444,4.767
Hnrnpa2b1,9.263,-0.2551,0.7048,NotDiff,2.502,-0.9591,1.866,3.451
Cbx3,4.624,0.5248,0.7494,NotDiff,0.4336,0.6154,0.9706,1.755
Snx10,4.72,-1.782,0.1656,NotDiff,4.152,2.187,3.952,3.247
Skap2,5.102,0.4441,0.7418,NotDiff,1.586,-4.271,-4.271,-4.271
Hoxa11,-3.356,1.78,0.889,NotDiff,2.519,1.164,2.076,2.523
Hoxa11os,-2.523,-7.268,0.4252,NotDiff,3.93,-2.793,4.467,4.28
5730457N03Rik,-4.454,3.744,0.7494,NotDiff,3.693,-1.355,2.279,1.519
Evx1,-0.3813,3.781,0.6566,NotDiff,2.278,-4.271,2.874,2.868
Hibadh,6.641,-0.2891,0.7494,NotDiff,6.393,6.375,6.226,5.872
Tax1bp1,6.943,1.013,0.1556,NotDiff,2.62,0.7538,1.963,0.5117
Jazf1,4.524,0.5638,0.7299,NotDiff,2.427,-4.271,2.021,1.983
Chn2,5.85,0.8053,0.4284,NotDiff,14.33,14.39,14.19,14.69
Scrn1,-3.651,-0.8692,0.9542,NotDiff,-0.1011,-0.5158,1.828,-0.4807
Fkbp14,-4.226,4.235,0.7294,NotDiff,3.981,3.803,3.39,3.854
Plekha8,2.492,-1.587,0.6607,NotDiff,-1.565,1.81,-4.271,-4.271
Mturn,2.107,0.9799,0.8052,NotDiff,1.294,2.022,1.748,0.6197
Znrf2,4.728,-0.5966,0.7154,NotDiff,2.605,-3.597,2.37,3.303
Nod1,0.9947,6.01,0.3368,NotDiff,5.93,6.582,5.636,4.859
Ggct,4.112,-0.4141,0.8089,NotDiff,5.878,5.354,6.07,5.871
Gars,8.457,-0.5808,0.3496,NotDiff,-1.231,2.137,-0.1356,-4.271
Pde1c,-4.57,-3.18,0.783,NotDiff,7.134,7.497,7.066,7.554
Lsm5,4.415,-0.888,0.5828,NotDiff,4.285,3.034,3.424,4.355
Avl9,4.588,1.197,0.4746,NotDiff,8.705,8.501,8.562,9.04
Kbtbd2,5.556,0.6683,0.5691,NotDiff,4.26,4.36,4.663,4.595
Fkbp9,-3.922,4.882,0.685,NotDiff,3.136,4.64,3.203,3.522
Nt5c3,7.153,0.345,0.6777,NotDiff,3.261,-2.513,3.841,3.637
Ppm1k,1.498,-2.986,0.6012,NotDiff,5.8,6.887,4.812,5.319
Herc6,4.858,1.015,0.4757,NotDiff,7.11,6.429,7.055,6.693
Pyurf,4.662,-0.6917,0.6563,NotDiff,5.814,6.206,5.29,3.838
Lancl2,3.478,0.3463,0.8897,NotDiff,7.08,6.775,6.685,7.127
Vopp1,5.206,0.2758,0.8482,NotDiff,-2.28,1.966,1.167,2.234
Abcg2,0.8778,-4.721,0.4746,NotDiff,5.323,4.818,3.29,4.544
Herc3,3.039,-1.022,0.7413,NotDiff,4.381,4.162,4.3,5.068
Tigd2,5.286,-0.3323,0.7875,NotDiff,3.932,3.328,2.644,2.084
Gprin3,2.675,0.05992,0.9888,NotDiff,3.903,-3.139,1.903,3.624
Snca,-1.927,8.701,0.2806,NotDiff,7.947,7.787,8.733,8.506
A730020E08Rik,-4.382,-3.965,0.7415,NotDiff,10.07,10.03,10.13,9.736
Ccser1,-3.806,-5.195,0.659,NotDiff,5.449,5.775,6.592,5.662
Smarcad1,3.862,-0.04819,0.9869,NotDiff,6.478,6.424,6.674,6.929
Hpgds,-3.859,2.615,0.8218,NotDiff,4.907,4.875,3.888,3.68
Tnip3,5.762,0.5606,0.6082,NotDiff,5.316,6.084,5.455,5.916
Prdm5,-2.216,-0.5345,0.9732,NotDiff,7.119,6.946,7.521,7.305
Mad2l1,7.696,-0.5303,0.4459,NotDiff,5.246,2.446,4.918,4.548
Gng12,2.802,1.209,0.7025,NotDiff,6.068,6.162,5.819,6.163
Gadd45a,3.001,0.0002495,0.9999,NotDiff,-4.271,-4.271,0.923,-4.271
E230016M11Rik,-4.577,-3.543,0.7608,NotDiff,5.438,5.951,5.223,5.65
Serbp1,9.554,-0.3239,0.5622,NotDiff,3.973,4.773,2.362,3.8
Il23r,-4.531,-3.252,0.7784,NotDiff,1.829,4.953,3.372,2.407
Rpia,1.377,-0.009958,0.9993,NotDiff,8.703,8.318,8.633,8.696
Eif2ak3,4.529,1.652,0.2654,NotDiff,6.589,5.966,6.925,6.125
Thnsl2,-3.887,-4.541,0.7029,NotDiff,6.155,6.017,5.349,5.268
Smyd1,1.539,-4.103,0.4867,NotDiff,4.228,5.621,4.316,4.276
Krcc1,5.913,-0.2062,0.8495,NotDiff,8.121,7.468,8.434,8.483
Cd8b1,9.653,0.6537,0.1638,NotDiff,0.1769,-4.271,1.061,-4.271
Cd8a,10.82,0.3136,0.5121,NotDiff,3.67,5.678,3.034,5.054
Rmnd5a,5.118,0.2874,0.8279,NotDiff,0.5247,-4.271,-4.271,-4.271
Rnf103,4.449,1.273,0.4913,NotDiff,8.442,8.414,8.564,8.58
Chmp3,6.238,-0.6915,0.5117,NotDiff,3.088,3.949,3.828,3.585
