GeneName,X_LogCPM,Y_LogFC,AdjPval,DGE_Category,BATF_invivo_logCPM,BATF_invivo_logCPM,pMIG_invivo_logCPM,pMIG_invivo_logCPM
Cul3,4.189,-0.233,0.9161,NotDiff,3.909,-4.271,4.659,1.519
Dock10,5.562,0.8917,0.4125,NotDiff,-3.383,-4.271,-3.58,3.729
Rhbdd1,3.809,0.007878,0.9986,NotDiff,7.207,6.478,8.022,8.21
Mff,7.573,-0.6044,0.3878,NotDiff,1.51,2.812,0.947,3.341
Agfg1,7.375,0.3321,0.698,NotDiff,-4.271,-4.271,2.119,-4.271
Pid1,-4.188,4.315,0.7275,NotDiff,1.008,0.9961,0.6581,1.933
Trip12,4.586,0.8095,0.6541,NotDiff,4.101,3.139,1.574,3.944
Fbxo36,-0.4367,4.776,0.54,NotDiff,6.215,5.768,6.118,6.125
Sp110,7.453,-0.01935,0.9869,NotDiff,6.148,7.066,6.3,5.638
Sp140,4.97,0.4685,0.7418,NotDiff,2.98,5.363,4.181,4.246
Sp100,7.433,0.8685,0.1689,NotDiff,5.945,6.041,5.379,4.887
A630001G21Rik,2.183,0.6246,0.8794,NotDiff,4.099,3.694,2.637,4.824
Cab39,7.509,0.06058,0.9513,NotDiff,7.328,7.214,7.822,7.93
Itm2c,7.308,0.7616,0.2707,NotDiff,7.888,7.181,7.063,7.367
Gpr55,-3.286,3.019,0.7875,NotDiff,1.755,-4.271,-4.271,-4.271
Psmd1,8.139,-0.7572,0.1867,NotDiff,4.003,5.986,5.007,3.36
Armc9,3.374,-0.08223,0.9821,NotDiff,1.838,1.884,1.083,-4.271
B3gnt7,-4.152,4.393,0.7225,NotDiff,7.598,7.278,7.461,7.477
Ncl,8.212,-0.5851,0.4112,NotDiff,5.564,4.848,4.423,5.052
Nmur1,-4.491,-3.327,0.7735,NotDiff,7.703,8.051,6.922,7.058
Ptma,9.988,-0.4831,0.3246,NotDiff,2.626,2.462,1.394,2.301
Pde6d,4.777,0.3207,0.8193,NotDiff,7.739,7.339,7.307,7.651
Cops7b,4.707,0.3442,0.8142,NotDiff,7.827,7.528,7.063,6.815
Dis3l2,4.872,0.5213,0.7276,NotDiff,2.19,-4.271,-2.482,-4.271
Eif4e2,8.327,-0.4366,0.4925,NotDiff,7.654,7.884,8.374,8.644
Gigyf2,2.11,-1.297,0.7494,NotDiff,3.435,3.288,3.084,3.712
Kcnj13,1.037,6.295,0.3118,NotDiff,1.898,-4.271,-4.271,-4.271
Atg16l1,3.223,0.128,0.9709,NotDiff,7.929,7.875,9.026,8.02
Sag,-1.38,-3.425,0.7276,NotDiff,-4.271,-4.271,1.083,-4.271
Dgkd,4.878,0.8666,0.52,NotDiff,9.711,9.781,10.26,10.2
Usp40,0.4554,-1.54,0.8329,NotDiff,4.957,4.911,4.663,4.584
Ugt1a7c,-3.845,-4.972,0.6604,NotDiff,4.971,4.684,5.13,4.05
Dnajb3,-1.989,-6.324,0.4915,NotDiff,4.935,5.405,4.33,4.825
Hjurp,1.811,1.286,0.7722,NotDiff,8.041,8.189,8.428,8.651
Arl4c,4.013,1.984,0.3078,NotDiff,1.855,1.223,1.951,3.468
Sh3bp4,-4.268,-4.212,0.7317,NotDiff,4.132,4.277,-2.246,-1.557
Gbx2,-4.474,3.318,0.7735,NotDiff,5.945,5.129,3.998,2.401
Cops8,7.258,0.7585,0.2903,NotDiff,3.241,3.385,3.012,3.28
Rab17,-1.905,-0.8567,0.9473,NotDiff,-0.06739,-4.271,-1.104,1.865
Lrrfip1,5.968,-0.1977,0.8718,NotDiff,5.173,5.507,4.214,4.625
